"","CareerHigh","Age_at_CH","Height","Weight","Body_ratio"
"East",623.715,22.37,179.06,72.3,0.402953633157998
"West",435.705976095618,22.9641434262948,183.337051792829,76.3426294820717,0.415531243431942
