"","Height","Weight","CH","Region","CH_age","Background","sex","Body_Ratio"
"1933",188,86,85,"EUROPE",24,"West","Male",0.457446808510638
"1934",188,80,111,"ASIA",23,"East","Male",0.425531914893617
"1935",188,83,200,"EUROPE",24,"West","Male",0.441489361702128
"1936",193,84,69,"OCEANIA",19,"West","Male",0.435233160621762
"1938",193,80,170,"EUROPE",22,"West","Male",0.414507772020725
"1941",183,83,205,"EUROPE",22,"West","Male",0.453551912568306
"1943",193,88,202,"EUROPE",21,"West","Male",0.455958549222798
"1944",201,82,147,"NORTHERN_AMERICA",22,"West","Male",0.407960199004975
"1945",196,78,64,"EUROPE",31,"West","Male",0.397959183673469
"1946",180,75,5,"EUROPE",24,"West","Male",0.416666666666667
"1948",185,75,174,"EUROPE",19,"West","Male",0.405405405405405
"1949",180,80,144,"EUROPE",23,"West","Male",0.444444444444444
"1950",183,78,175,"EUROPE",20,"West","Male",0.426229508196721
"1952",175,70,125,"NORTHERN_AMERICA",22,"West","Male",0.4
"1953",185,80,200,"ASIA",26,"East","Male",0.432432432432432
"1954",168,65,143,"ASIA",24,"East","Male",0.386904761904762
"1955",180,80,8,"EUROPE",27,"West","Male",0.444444444444444
"1956",185,75,208,"OCEANIA",20,"West","Male",0.405405405405405
"1957",188,80,188,"NORTHERN_AMERICA",24,"West","Male",0.425531914893617
"1958",183,69,181,"EUROPE",22,"West","Male",0.377049180327869
"1959",175,73,3,"EUROPE",31,"West","Male",0.417142857142857
"1960",185,80,118,"EUROPE",25,"West","Male",0.432432432432432
"1962",191,85,10,"EUROPE",25,"West","Male",0.445026178010471
"1963",188,83,140,"EUROPE",23,"West","Male",0.441489361702128
"1964",180,72,142,"EUROPE",26,"West","Male",0.4
"1966",196,90,152,"EUROPE",22,"West","Male",0.459183673469388
"1967",185,82,67,"NORTHERN_AMERICA",21,"West","Male",0.443243243243243
"1968",183,75,219,"EUROPE",22,"West","Male",0.409836065573771
"1969",183,80,38,"NORTHERN_AMERICA",22,"West","Male",0.437158469945355
"1970",188,82,233,"EUROPE",26,"West","Male",0.436170212765957
"1972",183,75,111,"EUROPE",29,"West","Male",0.409836065573771
"1973",178,76,64,"EUROPE",24,"West","Male",0.426966292134831
"1974",183,80,159,"EUROPE",21,"West","Male",0.437158469945355
"1976",191,84,45,"EUROPE",23,"West","Male",0.43979057591623
"1977",188,80,39,"OCEANIA",30,"West","Male",0.425531914893617
"1978",191,85,211,"EUROPE",24,"West","Male",0.445026178010471
"1979",193,88,173,"EUROPE",27,"West","Male",0.455958549222798
"1980",185,82,49,"EUROPE",29,"West","Male",0.443243243243243
"1981",183,78,203,"EUROPE",22,"West","Male",0.426229508196721
"1982",168,70,240,"EUROPE",28,"West","Male",0.416666666666667
"1983",193,81,72,"ASIA",27,"East","Male",0.419689119170984
"1984",185,79,229,"ASIA",22,"East","Male",0.427027027027027
"1985",180,73,237,"EUROPE",22,"West","Male",0.405555555555556
"1986",180,78,144,"OCEANIA",20,"West","Male",0.433333333333333
"1988",173,68,252,"EUROPE",19,"West","Male",0.393063583815029
"1990",191,86,250,"EUROPE",20,"West","Male",0.450261780104712
"1991",175,75,130,"ASIA",18,"East","Male",0.428571428571429
"1992",183,75,84,"EUROPE",27,"West","Male",0.409836065573771
"1993",183,80,241,"NORTHERN_AMERICA",20,"West","Male",0.437158469945355
"1994",185,76,208,"EUROPE",21,"West","Male",0.410810810810811
"1995",183,80,236,"ASIA",26,"East","Male",0.437158469945355
"1996",185,85,212,"EUROPE",20,"West","Male",0.459459459459459
"1997",178,74,91,"OCEANIA",25,"West","Male",0.415730337078652
"1998",183,78,154,"EUROPE",24,"West","Male",0.426229508196721
"1999",185,79,194,"EUROPE",22,"West","Male",0.427027027027027
"2002",193,85,137,"ASIA",28,"East","Male",0.440414507772021
"2004",168,66,259,"ASIA",22,"East","Male",0.392857142857143
"2005",188,84,253,"OCEANIA",23,"West","Male",0.446808510638298
"2010",188,82,272,"NORTHERN_AMERICA",18,"West","Male",0.436170212765957
"2011",183,78,201,"EUROPE",22,"West","Male",0.426229508196721
"2012",196,88,263,"EUROPE",23,"West","Male",0.448979591836735
"2013",188,83,43,"EUROPE",30,"West","Male",0.441489361702128
"2015",196,90,279,"EUROPE",21,"West","Male",0.459183673469388
"2017",191,85,192,"EUROPE",21,"West","Male",0.445026178010471
"2018",183,73,113,"EUROPE",25,"West","Male",0.398907103825137
"2019",191,86,187,"EUROPE",20,"West","Male",0.450261780104712
"2021",180,72,161,"NORTHERN_AMERICA",24,"West","Male",0.4
"2023",191,82,18,"EUROPE",27,"West","Male",0.429319371727749
"2024",178,73,197,"EUROPE",26,"West","Male",0.410112359550562
"2025",196,80,234,"EUROPE",21,"West","Male",0.408163265306122
"2026",178,80,224,"NORTHERN_AMERICA",23,"West","Male",0.449438202247191
"2027",188,84,108,"OCEANIA",26,"West","Male",0.446808510638298
"2028",191,89,25,"EUROPE",29,"West","Male",0.465968586387435
"2031",188,90,96,"NORTHERN_AMERICA",20,"West","Male",0.478723404255319
"2032",185,78,293,"OCEANIA",23,"West","Male",0.421621621621622
"2033",191,80,78,"EUROPE",31,"West","Male",0.418848167539267
"2034",178,78,233,"ASIA",21,"East","Male",0.438202247191011
"2035",193,75,273,"NORTHERN_AMERICA",19,"West","Male",0.38860103626943
"2036",188,80,277,"EUROPE",29,"West","Male",0.425531914893617
"2037",185,77,296,"EUROPE",22,"West","Male",0.416216216216216
"2039",180,63,171,"ASIA",20,"East","Male",0.35
"2040",183,73,303,"EUROPE",18,"West","Male",0.398907103825137
"2041",188,78,89,"EUROPE",28,"West","Male",0.414893617021277
"2042",196,85,302,"EUROPE",23,"West","Male",0.433673469387755
"2043",173,75,193,"EUROPE",22,"West","Male",0.433526011560694
"2045",183,82,129,"EUROPE",26,"West","Male",0.448087431693989
"2046",185,73,276,"EUROPE",24,"West","Male",0.394594594594595
"2047",185,84,40,"NORTHERN_AMERICA",25,"West","Male",0.454054054054054
"2048",191,86,162,"NORTHERN_AMERICA",27,"West","Male",0.450261780104712
"2049",196,81,296,"EUROPE",23,"West","Male",0.413265306122449
"2050",180,75,266,"EUROPE",19,"West","Male",0.416666666666667
"2052",203,86,314,"NORTHERN_AMERICA",25,"West","Male",0.423645320197044
"2053",183,85,293,"EUROPE",24,"West","Male",0.46448087431694
"2054",183,77,213,"NORTHERN_AMERICA",24,"West","Male",0.420765027322404
"2056",173,65,140,"ASIA",24,"East","Male",0.375722543352601
"2059",180,72,153,"EUROPE",27,"West","Male",0.4
"2062",175,73,68,"NORTHERN_AMERICA",27,"West","Male",0.417142857142857
"2063",193,85,303,"EUROPE",21,"West","Male",0.440414507772021
"2064",183,73,314,"EUROPE",25,"West","Male",0.398907103825137
"2065",178,73,282,"EUROPE",21,"West","Male",0.410112359550562
"2066",191,75,310,"NORTHERN_AMERICA",21,"West","Male",0.392670157068063
"2067",188,83,152,"OCEANIA",21,"West","Male",0.441489361702128
"2068",175,70,22,"EUROPE",29,"West","Male",0.4
"2070",191,85,52,"EUROPE",26,"West","Male",0.445026178010471
"2073",193,87,177,"EUROPE",23,"West","Male",0.450777202072539
"2074",180,80,336,"ASIA",21,"East","Male",0.444444444444444
"2076",185,80,191,"EUROPE",23,"West","Male",0.432432432432432
"2077",183,83,36,"EUROPE",23,"West","Male",0.453551912568306
"2080",178,69,332,"EUROPE",22,"West","Male",0.387640449438202
"2082",185,84,182,"EUROPE",24,"West","Male",0.454054054054054
"2084",191,80,316,"EUROPE",17,"West","Male",0.418848167539267
"2086",185,80,185,"NORTHERN_AMERICA",26,"West","Male",0.432432432432432
"2087",183,70,270,"EUROPE",22,"West","Male",0.382513661202186
"2088",173,73,189,"NORTHERN_AMERICA",24,"West","Male",0.421965317919075
"2089",188,78,207,"EUROPE",20,"West","Male",0.414893617021277
"2091",185,80,312,"EUROPE",22,"West","Male",0.432432432432432
"2092",183,79,250,"EUROPE",26,"West","Male",0.431693989071038
"2093",196,86,319,"EUROPE",24,"West","Male",0.438775510204082
"2094",180,73,356,"EUROPE",24,"West","Male",0.405555555555556
"2096",191,90,258,"EUROPE",24,"West","Male",0.471204188481675
"2097",183,75,359,"EUROPE",24,"West","Male",0.409836065573771
"2098",183,80,48,"EUROPE",27,"West","Male",0.437158469945355
"2099",188,85,148,"ASIA",22,"East","Male",0.452127659574468
"2100",163,62,335,"ASIA",20,"East","Male",0.380368098159509
"2102",191,88,210,"EUROPE",18,"West","Male",0.460732984293194
"2103",185,75,211,"EUROPE",20,"West","Male",0.405405405405405
"2106",193,84,368,"EUROPE",19,"West","Male",0.435233160621762
"2107",191,84,142,"EUROPE",23,"West","Male",0.43979057591623
"2108",178,74,320,"ASIA",25,"East","Male",0.415730337078652
"2109",198,94,100,"EUROPE",29,"West","Male",0.474747474747475
"2110",178,75,372,"ASIA",23,"East","Male",0.421348314606742
"2111",185,76,176,"EUROPE",21,"West","Male",0.410810810810811
"2112",193,94,371,"EUROPE",22,"West","Male",0.487046632124352
"2113",183,76,57,"EUROPE",25,"West","Male",0.415300546448087
"2115",185,76,273,"EUROPE",26,"West","Male",0.410810810810811
"2116",180,81,325,"EUROPE",25,"West","Male",0.45
"2117",183,72,250,"EUROPE",25,"West","Male",0.39344262295082
"2118",191,82,380,"NORTHERN_AMERICA",25,"West","Male",0.429319371727749
"2119",188,83,260,"EUROPE",23,"West","Male",0.441489361702128
"2120",185,79,346,"EUROPE",25,"West","Male",0.427027027027027
"2121",175,72,234,"EUROPE",22,"West","Male",0.411428571428571
"2123",183,72,385,"EUROPE",20,"West","Male",0.39344262295082
"2124",188,89,296,"EUROPE",19,"West","Male",0.473404255319149
"2126",191,80,275,"EUROPE",20,"West","Male",0.418848167539267
"2128",188,74,253,"ASIA",22,"East","Male",0.393617021276596
"2129",185,76,72,"EUROPE",22,"West","Male",0.410810810810811
"2130",188,78,68,"EUROPE",25,"West","Male",0.414893617021277
"2131",183,78,382,"EUROPE",17,"West","Male",0.426229508196721
"2133",188,85,267,"NORTHERN_AMERICA",23,"West","Male",0.452127659574468
"2135",185,77,397,"NORTHERN_AMERICA",18,"West","Male",0.416216216216216
"2137",193,89,333,"NORTHERN_AMERICA",25,"West","Male",0.461139896373057
"2138",188,78,276,"NORTHERN_AMERICA",21,"West","Male",0.414893617021277
"2139",183,75,370,"EUROPE",17,"West","Male",0.409836065573771
"2140",183,75,401,"EUROPE",20,"West","Male",0.409836065573771
"2141",185,80,153,"EUROPE",29,"West","Male",0.432432432432432
"2142",188,83,169,"EUROPE",25,"West","Male",0.441489361702128
"2143",185,83,319,"EUROPE",24,"West","Male",0.448648648648649
"2146",168,63,398,"ASIA",20,"East","Male",0.375
"2149",170,66,391,"EUROPE",20,"West","Male",0.388235294117647
"2150",188,87,391,"EUROPE",22,"West","Male",0.462765957446808
"2152",173,68,259,"EUROPE",25,"West","Male",0.393063583815029
"2153",180,68,338,"EUROPE",19,"West","Male",0.377777777777778
"2154",175,68,265,"EUROPE",22,"West","Male",0.388571428571429
"2155",193,78,324,"EUROPE",24,"West","Male",0.404145077720207
"2156",185,77,390,"EUROPE",20,"West","Male",0.416216216216216
"2157",183,78,183,"EUROPE",20,"West","Male",0.426229508196721
"2158",188,72,179,"EUROPE",28,"West","Male",0.382978723404255
"2160",185,78,327,"EUROPE",28,"West","Male",0.421621621621622
"2161",188,87,422,"EUROPE",25,"West","Male",0.462765957446808
"2162",180,70,423,"EUROPE",19,"West","Male",0.388888888888889
"2163",188,76,380,"EUROPE",19,"West","Male",0.404255319148936
"2164",183,76,293,"EUROPE",20,"West","Male",0.415300546448087
"2166",193,89,345,"EUROPE",23,"West","Male",0.461139896373057
"2168",178,75,314,"NORTHERN_AMERICA",26,"West","Male",0.421348314606742
"2169",193,90,404,"EUROPE",21,"West","Male",0.466321243523316
"2170",196,91,381,"NORTHERN_AMERICA",23,"West","Male",0.464285714285714
"2171",185,77,427,"EUROPE",24,"West","Male",0.416216216216216
"2172",191,83,355,"EUROPE",26,"West","Male",0.43455497382199
"2173",193,80,283,"EUROPE",21,"West","Male",0.414507772020725
"2174",198,90,320,"EUROPE",20,"West","Male",0.454545454545455
"2175",191,85,282,"EUROPE",22,"West","Male",0.445026178010471
"2176",193,90,433,"EUROPE",23,"West","Male",0.466321243523316
"2177",185,85,409,"EUROPE",26,"West","Male",0.459459459459459
"2180",191,72,342,"EUROPE",23,"West","Male",0.37696335078534
"2183",178,72,372,"EUROPE",23,"West","Male",0.404494382022472
"2184",178,73,439,"EUROPE",25,"West","Male",0.410112359550562
"2186",180,70,444,"EUROPE",18,"West","Male",0.388888888888889
"2188",180,74,405,"NORTHERN_AMERICA",22,"West","Male",0.411111111111111
"2189",191,88,71,"EUROPE",24,"West","Male",0.460732984293194
"2191",170,68,238,"ASIA",19,"East","Male",0.4
"2194",191,84,116,"EUROPE",23,"West","Male",0.43979057591623
"2195",185,74,455,"EUROPE",22,"West","Male",0.4
"2196",193,86,451,"EUROPE",24,"West","Male",0.44559585492228
"2197",173,69,254,"EUROPE",25,"West","Male",0.398843930635838
"2198",173,78,62,"EUROPE",26,"West","Male",0.450867052023121
"2199",175,65,343,"ASIA",23,"East","Male",0.371428571428571
"2200",193,78,423,"EUROPE",22,"West","Male",0.404145077720207
"2201",180,75,446,"ASIA",22,"East","Male",0.416666666666667
"2205",196,92,51,"EUROPE",26,"West","Male",0.469387755102041
"2206",178,69,289,"ASIA",20,"East","Male",0.387640449438202
"2209",188,82,136,"EUROPE",26,"West","Male",0.436170212765957
"2210",180,80,226,"EUROPE",22,"West","Male",0.444444444444444
"2212",185,76,460,"EUROPE",20,"West","Male",0.410810810810811
"2213",188,80,205,"EUROPE",27,"West","Male",0.425531914893617
"2214",188,80,393,"EUROPE",20,"West","Male",0.425531914893617
"2216",198,96,406,"EUROPE",28,"West","Male",0.484848484848485
"2217",188,85,211,"EUROPE",26,"West","Male",0.452127659574468
"2218",183,75,468,"ASIA",22,"East","Male",0.409836065573771
"2219",191,85,268,"EUROPE",28,"West","Male",0.445026178010471
"2221",170,67,482,"EUROPE",22,"West","Male",0.394117647058824
"2224",183,76,402,"EUROPE",20,"West","Male",0.415300546448087
"2225",191,89,47,"EUROPE",28,"West","Male",0.465968586387435
"2226",175,65,343,"ASIA",19,"East","Male",0.371428571428571
"2227",180,76,466,"EUROPE",26,"West","Male",0.422222222222222
"2228",188,79,465,"EUROPE",25,"West","Male",0.420212765957447
"2229",191,85,388,"EUROPE",20,"West","Male",0.445026178010471
"2230",183,79,115,"NORTHERN_AMERICA",19,"West","Male",0.431693989071038
"2232",185,76,8,"EUROPE",27,"West","Male",0.410810810810811
"2233",180,77,492,"EUROPE",19,"West","Male",0.427777777777778
"2234",185,83,206,"EUROPE",26,"West","Male",0.448648648648649
"2235",188,83,353,"EUROPE",24,"West","Male",0.441489361702128
"2236",185,80,472,"EUROPE",19,"West","Male",0.432432432432432
"2237",178,70,461,"EUROPE",19,"West","Male",0.393258426966292
"2238",185,85,242,"EUROPE",26,"West","Male",0.459459459459459
"2240",185,80,341,"EUROPE",21,"West","Male",0.432432432432432
"2241",183,68,491,"EUROPE",16,"West","Male",0.371584699453552
"2242",180,74,477,"EUROPE",18,"West","Male",0.411111111111111
"2245",191,80,157,"NORTHERN_AMERICA",26,"West","Male",0.418848167539267
"2246",188,82,160,"OCEANIA",23,"West","Male",0.436170212765957
"2248",173,72,355,"EUROPE",25,"West","Male",0.416184971098266
"2250",188,84,408,"EUROPE",18,"West","Male",0.446808510638298
"2251",180,71,13,"EUROPE",23,"West","Male",0.394444444444444
"2252",180,71,508,"EUROPE",18,"West","Male",0.394444444444444
"2253",185,83,386,"EUROPE",19,"West","Male",0.448648648648649
"2254",193,86,39,"OCEANIA",27,"West","Male",0.44559585492228
"2256",178,70,390,"EUROPE",21,"West","Male",0.393258426966292
"2257",185,80,482,"EUROPE",21,"West","Male",0.432432432432432
"2258",185,70,513,"NORTHERN_AMERICA",24,"West","Male",0.378378378378378
"2259",188,77,415,"EUROPE",22,"West","Male",0.409574468085106
"2263",193,83,40,"EUROPE",21,"West","Male",0.430051813471503
"2265",175,70,430,"ASIA",25,"East","Male",0.4
"2268",180,77,220,"OCEANIA",21,"West","Male",0.427777777777778
"2269",193,90,174,"EUROPE",22,"West","Male",0.466321243523316
"2271",180,73,409,"EUROPE",25,"West","Male",0.405555555555556
"2273",173,70,409,"EUROPE",25,"West","Male",0.404624277456647
"2274",183,77,524,"EUROPE",19,"West","Male",0.420765027322404
"2275",185,80,501,"NORTHERN_AMERICA",23,"West","Male",0.432432432432432
"2276",185,73,454,"NORTHERN_AMERICA",22,"West","Male",0.394594594594595
"2277",178,75,375,"EUROPE",20,"West","Male",0.421348314606742
"2279",193,88,98,"ASIA",28,"East","Male",0.455958549222798
"2280",188,86,423,"EUROPE",21,"West","Male",0.457446808510638
"2281",188,78,480,"EUROPE",25,"West","Male",0.414893617021277
"2282",185,82,456,"NORTHERN_AMERICA",21,"West","Male",0.443243243243243
"2283",175,69,385,"ASIA",21,"East","Male",0.394285714285714
"2284",188,83,491,"OCEANIA",23,"West","Male",0.441489361702128
"2285",178,75,171,"EUROPE",24,"West","Male",0.421348314606742
"2287",198,96,313,"EUROPE",27,"West","Male",0.484848484848485
"2289",173,74,70,"EUROPE",28,"West","Male",0.427745664739884
"2292",185,78,354,"EUROPE",24,"West","Male",0.421621621621622
"2293",180,75,450,"EUROPE",23,"West","Male",0.416666666666667
"2294",188,77,496,"NORTHERN_AMERICA",20,"West","Male",0.409574468085106
"2299",185,83,328,"ASIA",24,"East","Male",0.448648648648649
"2300",188,81,539,"EUROPE",19,"West","Male",0.430851063829787
"2301",178,70,553,"NORTHERN_AMERICA",18,"West","Male",0.393258426966292
"2302",193,90,381,"EUROPE",25,"West","Male",0.466321243523316
"2303",180,77,502,"EUROPE",19,"West","Male",0.427777777777778
"2305",188,75,558,"EUROPE",19,"West","Male",0.398936170212766
"2306",185,72,301,"EUROPE",24,"West","Male",0.389189189189189
"2307",193,91,119,"NORTHERN_AMERICA",22,"West","Male",0.471502590673575
"2309",183,74,278,"ASIA",27,"East","Male",0.404371584699454
"2310",183,80,306,"EUROPE",25,"West","Male",0.437158469945355
"2311",193,83,398,"EUROPE",21,"West","Male",0.430051813471503
"2313",183,75,243,"EUROPE",20,"West","Male",0.409836065573771
"2314",183,80,472,"EUROPE",17,"West","Male",0.437158469945355
"2315",183,72,568,"ASIA",21,"East","Male",0.39344262295082
"2316",193,86,536,"EUROPE",20,"West","Male",0.44559585492228
"2317",185,78,570,"EUROPE",24,"West","Male",0.421621621621622
"2318",178,82,522,"NORTHERN_AMERICA",26,"West","Male",0.460674157303371
"2319",185,71,543,"EUROPE",22,"West","Male",0.383783783783784
"2320",183,75,508,"EUROPE",22,"West","Male",0.409836065573771
"2322",191,84,565,"NORTHERN_AMERICA",23,"West","Male",0.43979057591623
"2323",183,78,567,"EUROPE",23,"West","Male",0.426229508196721
"2324",173,73,576,"ASIA",18,"East","Male",0.421965317919075
"2326",183,73,561,"EUROPE",20,"West","Male",0.398907103825137
"2328",178,68,287,"NORTHERN_AMERICA",25,"West","Male",0.382022471910112
"2329",191,88,552,"EUROPE",24,"West","Male",0.460732984293194
"2333",183,73,563,"OCEANIA",20,"West","Male",0.398907103825137
"2335",178,68,584,"EUROPE",26,"West","Male",0.382022471910112
"2336",178,70,349,"EUROPE",19,"West","Male",0.393258426966292
"2337",198,75,590,"EUROPE",22,"West","Male",0.378787878787879
"2339",180,73,585,"EUROPE",31,"West","Male",0.405555555555556
"2340",180,75,492,"ASIA",22,"East","Male",0.416666666666667
"2342",185,81,568,"EUROPE",25,"West","Male",0.437837837837838
"2343",196,86,150,"EUROPE",21,"West","Male",0.438775510204082
"2344",183,74,442,"NORTHERN_AMERICA",24,"West","Male",0.404371584699454
"2346",196,93,598,"EUROPE",22,"West","Male",0.474489795918367
"2348",185,80,339,"NORTHERN_AMERICA",23,"West","Male",0.432432432432432
"2349",188,80,574,"EUROPE",22,"West","Male",0.425531914893617
"2350",191,71,591,"EUROPE",19,"West","Male",0.371727748691099
"2351",178,73,599,"EUROPE",20,"West","Male",0.410112359550562
"2352",170,70,600,"EUROPE",19,"West","Male",0.411764705882353
"2353",180,73,585,"EUROPE",20,"West","Male",0.405555555555556
"2356",185,70,495,"NORTHERN_AMERICA",21,"West","Male",0.378378378378378
"2357",185,75,454,"EUROPE",21,"West","Male",0.405405405405405
"2358",180,70,427,"EUROPE",19,"West","Male",0.388888888888889
"2359",188,80,611,"EUROPE",21,"West","Male",0.425531914893617
"2364",183,78,285,"EUROPE",26,"West","Male",0.426229508196721
"2365",188,84,2,"EUROPE",24,"West","Male",0.446808510638298
"2367",180,77,349,"EUROPE",25,"West","Male",0.427777777777778
"2368",193,73,523,"NORTHERN_AMERICA",20,"West","Male",0.378238341968912
"2369",187,81,7,"NORTHERN_AMERICA",29,"West","Male",0.433155080213904
"2370",173,60,601,"ASIA",21,"East","Male",0.346820809248555
"2372",201,91,332,"NORTHERN_AMERICA",25,"West","Male",0.45273631840796
"2373",183,80,497,"EUROPE",20,"West","Male",0.437158469945355
"2374",180,64,518,"ASIA",23,"East","Male",0.355555555555556
"2375",183,80,625,"NORTHERN_AMERICA",26,"West","Male",0.437158469945355
"2377",188,83,623,"EUROPE",22,"West","Male",0.441489361702128
"2379",193,75,426,"ASIA",20,"East","Male",0.38860103626943
"2380",185,78,442,"EUROPE",19,"West","Male",0.421621621621622
"2382",175,76,589,"NORTHERN_AMERICA",24,"West","Male",0.434285714285714
"2383",191,78,538,"EUROPE",21,"West","Male",0.408376963350785
"2385",188,85,635,"EUROPE",22,"West","Male",0.452127659574468
"2386",185,82,394,"EUROPE",20,"West","Male",0.443243243243243
"2387",191,78,518,"EUROPE",20,"West","Male",0.408376963350785
"2388",196,89,638,"NORTHERN_AMERICA",25,"West","Male",0.454081632653061
"2389",175,68,489,"EUROPE",23,"West","Male",0.388571428571429
"2390",193,81,574,"EUROPE",21,"West","Male",0.419689119170984
"2391",180,80,386,"NORTHERN_AMERICA",20,"West","Male",0.444444444444444
"2392",183,82,470,"NORTHERN_AMERICA",20,"West","Male",0.448087431693989
"2394",196,80,503,"EUROPE",19,"West","Male",0.408163265306122
"2395",193,80,645,"EUROPE",24,"West","Male",0.414507772020725
"2396",191,85,631,"EUROPE",20,"West","Male",0.445026178010471
"2397",191,92,494,"EUROPE",24,"West","Male",0.481675392670157
"2398",180,82,519,"EUROPE",20,"West","Male",0.455555555555556
"2400",173,75,135,"EUROPE",30,"West","Male",0.433526011560694
"2401",188,82,259,"OCEANIA",22,"West","Male",0.436170212765957
"2403",183,68,650,"EUROPE",22,"West","Male",0.371584699453552
"2404",188,75,258,"EUROPE",21,"West","Male",0.398936170212766
"2405",191,72,530,"EUROPE",20,"West","Male",0.37696335078534
"2406",183,68,538,"EUROPE",24,"West","Male",0.371584699453552
"2407",183,75,458,"EUROPE",23,"West","Male",0.409836065573771
"2409",183,78,56,"EUROPE",26,"West","Male",0.426229508196721
"2411",180,72,332,"EUROPE",25,"West","Male",0.4
"2414",173,76,663,"ASIA",19,"East","Male",0.439306358381503
"2416",180,77,198,"NORTHERN_AMERICA",24,"West","Male",0.427777777777778
"2417",188,80,666,"NORTHERN_AMERICA",21,"West","Male",0.425531914893617
"2418",178,72,103,"EUROPE",30,"West","Male",0.404494382022472
"2422",173,68,566,"EUROPE",20,"West","Male",0.393063583815029
"2423",188,80,530,"EUROPE",26,"West","Male",0.425531914893617
"2424",188,78,641,"EUROPE",22,"West","Male",0.414893617021277
"2425",188,82,558,"NORTHERN_AMERICA",23,"West","Male",0.436170212765957
"2427",185,80,392,"EUROPE",19,"West","Male",0.432432432432432
"2428",183,71,217,"EUROPE",24,"West","Male",0.387978142076503
"2429",185,70,617,"ASIA",23,"East","Male",0.378378378378378
"2430",188,82,194,"EUROPE",22,"West","Male",0.436170212765957
"2431",183,78,264,"EUROPE",22,"West","Male",0.426229508196721
"2432",170,63,461,"EUROPE",21,"West","Male",0.370588235294118
"2433",196,84,679,"NORTHERN_AMERICA",23,"West","Male",0.428571428571429
"2434",185,74,538,"EUROPE",21,"West","Male",0.4
"2435",193,80,479,"EUROPE",21,"West","Male",0.414507772020725
"2436",185,78,685,"NORTHERN_AMERICA",22,"West","Male",0.421621621621622
"2438",178,80,279,"OCEANIA",25,"West","Male",0.449438202247191
"2439",183,76,688,"NORTHERN_AMERICA",21,"West","Male",0.415300546448087
"2441",196,96,132,"EUROPE",25,"West","Male",0.489795918367347
"2442",203,98,62,"EUROPE",26,"West","Male",0.482758620689655
"2443",180,72,558,"EUROPE",19,"West","Male",0.4
"2444",193,84,535,"EUROPE",22,"West","Male",0.435233160621762
"2445",183,75,569,"EUROPE",22,"West","Male",0.409836065573771
"2446",180,80,434,"ASIA",22,"East","Male",0.444444444444444
"2448",188,85,201,"EUROPE",24,"West","Male",0.452127659574468
"2449",178,82,582,"EUROPE",26,"West","Male",0.460674157303371
"2451",178,80,637,"EUROPE",23,"West","Male",0.449438202247191
"2454",188,85,692,"EUROPE",23,"West","Male",0.452127659574468
"2455",183,84,691,"EUROPE",24,"West","Male",0.459016393442623
"2456",183,77,693,"NORTHERN_AMERICA",24,"West","Male",0.420765027322404
"2457",206,94,595,"EUROPE",19,"West","Male",0.456310679611651
"2459",196,97,145,"EUROPE",28,"West","Male",0.494897959183673
"2460",191,80,540,"EUROPE",23,"West","Male",0.418848167539267
"2462",185,89,635,"EUROPE",24,"West","Male",0.481081081081081
"2463",185,79,188,"EUROPE",28,"West","Male",0.427027027027027
"2464",185,77,50,"EUROPE",36,"West","Male",0.416216216216216
"2466",185,70,688,"EUROPE",18,"West","Male",0.378378378378378
"2467",183,62,508,"ASIA",19,"East","Male",0.33879781420765
"2470",188,75,48,"NORTHERN_AMERICA",21,"West","Male",0.398936170212766
"2471",185,82,719,"NORTHERN_AMERICA",22,"West","Male",0.443243243243243
"2474",185,83,699,"EUROPE",18,"West","Male",0.448648648648649
"2476",178,70,455,"EUROPE",28,"West","Male",0.393258426966292
"2478",180,70,602,"EUROPE",20,"West","Male",0.388888888888889
"2479",178,72,563,"EUROPE",22,"West","Male",0.404494382022472
"2480",185,79,672,"NORTHERN_AMERICA",29,"West","Male",0.427027027027027
"2484",170,66,721,"NORTHERN_AMERICA",21,"West","Male",0.388235294117647
"2486",180,75,531,"ASIA",20,"East","Male",0.416666666666667
"2487",191,82,436,"NORTHERN_AMERICA",19,"West","Male",0.429319371727749
"2489",183,80,576,"ASIA",17,"East","Male",0.437158469945355
"2491",203,95,644,"NORTHERN_AMERICA",23,"West","Male",0.467980295566502
"2493",191,83,445,"EUROPE",22,"West","Male",0.43455497382199
"2495",183,73,695,"EUROPE",30,"West","Male",0.398907103825137
"2496",180,84,529,"NORTHERN_AMERICA",20,"West","Male",0.466666666666667
"2497",191,85,377,"EUROPE",20,"West","Male",0.445026178010471
"2498",180,75,664,"EUROPE",20,"West","Male",0.416666666666667
"2500",191,85,624,"EUROPE",21,"West","Male",0.445026178010471
"2501",183,77,587,"ASIA",28,"East","Male",0.420765027322404
"2502",183,79,33,"ASIA",23,"East","Male",0.431693989071038
"2504",178,69,751,"OCEANIA",18,"West","Male",0.387640449438202
"2506",178,70,733,"EUROPE",22,"West","Male",0.393258426966292
"2510",180,68,568,"EUROPE",22,"West","Male",0.377777777777778
"2511",188,85,226,"EUROPE",28,"West","Male",0.452127659574468
"2512",180,77,202,"EUROPE",24,"West","Male",0.427777777777778
"2514",193,80,532,"EUROPE",26,"West","Male",0.414507772020725
"2515",191,84,762,"OCEANIA",19,"West","Male",0.43979057591623
"2516",185,80,328,"EUROPE",23,"West","Male",0.432432432432432
"2520",178,70,763,"ASIA",23,"East","Male",0.393258426966292
