"","Height","Weight","CH","Region","CH_age","Background","sex","Body_Ratio"
"159",163,66,73,"NORTHERN_AMERICA",23,"West","Female",0.404907975460123
"166",163,53,39,"EUROPE",25,"West","Female",0.325153374233129
"167",167,60,99,"EUROPE",21,"West","Female",0.359281437125749
"170",163,59,71,"EUROPE",26,"West","Female",0.361963190184049
"171",180,72,19,"NORTHERN_AMERICA",26,"West","Female",0.4
"172",179,68,111,"EUROPE",20,"West","Female",0.379888268156425
"173",185,69,23,"EUROPE",22,"West","Female",0.372972972972973
"174",180,65,17,"EUROPE",29,"West","Female",0.361111111111111
"175",175,68,48,"NORTHERN_AMERICA",24,"West","Female",0.388571428571429
"178",170,60,67,"EUROPE",30,"West","Female",0.352941176470588
"181",168,60,50,"EUROPE",20,"West","Female",0.357142857142857
"189",168,67,94,"EUROPE",25,"West","Female",0.398809523809524
"190",161,58,147,"EUROPE",20,"West","Female",0.360248447204969
"193",183,58,46,"EUROPE",20,"West","Female",0.316939890710383
"195",182,67,35,"EUROPE",19,"West","Female",0.368131868131868
"196",172,66,105,"ASIA",26,"East","Female",0.383720930232558
"201",164,60,5,"EUROPE",26,"West","Female",0.365853658536585
"203",173,64,170,"EUROPE",26,"West","Female",0.369942196531792
"204",168,60,116,"OCEANIA",27,"West","Female",0.357142857142857
"207",178,66,124,"NORTHERN_AMERICA",26,"West","Female",0.370786516853933
"215",165,55,166,"ASIA",20,"East","Female",0.333333333333333
"218",174,66,45,"EUROPE",28,"West","Female",0.379310344827586
"222",178,68,165,"EUROPE",25,"West","Female",0.382022471910112
"225",178,61,5,"NORTHERN_AMERICA",20,"West","Female",0.342696629213483
"227",180,65,55,"EUROPE",23,"West","Female",0.361111111111111
"232",170,60,198,"EUROPE",21,"West","Female",0.352941176470588
"233",180,69,102,"EUROPE",20,"West","Female",0.383333333333333
"238",166,61,20,"OCEANIA",23,"West","Female",0.367469879518072
"240",164,55,154,"EUROPE",23,"West","Female",0.335365853658537
"246",170,62,154,"OCEANIA",21,"West","Female",0.364705882352941
"249",168,61,189,"OCEANIA",19,"West","Female",0.363095238095238
"250",175,59,105,"EUROPE",24,"West","Female",0.337142857142857
"255",167,67,66,"ASIA",25,"East","Female",0.401197604790419
"260",187,73,124,"EUROPE",26,"West","Female",0.390374331550802
"262",176,63,57,"EUROPE",20,"West","Female",0.357954545454545
"264",168,61,132,"NORTHERN_AMERICA",22,"West","Female",0.363095238095238
"271",170,56,59,"EUROPE",23,"West","Female",0.329411764705882
"272",175,64,58,"NORTHERN_AMERICA",20,"West","Female",0.365714285714286
"274",163,64,97,"NORTHERN_AMERICA",20,"West","Female",0.392638036809816
"278",177,57,29,"EUROPE",21,"West","Female",0.322033898305085
"280",168,56,7,"EUROPE",26,"West","Female",0.333333333333333
"288",183,64,38,"NORTHERN_AMERICA",20,"West","Female",0.349726775956284
"293",175,58,102,"OCEANIA",23,"West","Female",0.331428571428571
"302",177,72,41,"EUROPE",26,"West","Female",0.406779661016949
"316",163,57,70,"ASIA",23,"East","Female",0.349693251533742
"318",161,55,4,"EUROPE",27,"West","Female",0.341614906832298
"320",181,62,5,"EUROPE",19,"West","Female",0.342541436464088
"325",183,66,102,"NORTHERN_AMERICA",19,"West","Female",0.360655737704918
"335",185,70,10,"NORTHERN_AMERICA",25,"West","Female",0.378378378378378
"338",178,68,12,"EUROPE",22,"West","Female",0.382022471910112
"348",180,65,31,"EUROPE",23,"West","Female",0.361111111111111
"354",178,66,111,"NORTHERN_AMERICA",20,"West","Female",0.370786516853933
"361",173,56,95,"EUROPE",23,"West","Female",0.323699421965318
"365",168,62,144,"ASIA",20,"East","Female",0.369047619047619
"388",179,63,166,"ASIA",21,"East","Female",0.35195530726257
"389",171,63,35,"EUROPE",16,"West","Female",0.368421052631579
"390",186,84,60,"ASIA",27,"East","Female",0.451612903225806
"391",178,64,107,"NORTHERN_AMERICA",23,"West","Female",0.359550561797753
"394",180,68,40,"EUROPE",32,"West","Female",0.377777777777778
"402",168,66,30,"NORTHERN_AMERICA",26,"West","Female",0.392857142857143
"427",181,65,20,"EUROPE",35,"West","Female",0.359116022099448
"430",190,74,50,"ASIA",23,"East","Female",0.389473684210526
"431",179,63,349,"EUROPE",20,"West","Female",0.35195530726257
"433",166,59,202,"OCEANIA",19,"West","Female",0.355421686746988
"434",168,59,31,"NORTHERN_AMERICA",18,"West","Female",0.351190476190476
"445",189,74,76,"EUROPE",26,"West","Female",0.391534391534392
"451",175,62,424,"EUROPE",23,"West","Female",0.354285714285714
"460",170,61,294,"EUROPE",22,"West","Female",0.358823529411765
"470",163,65,145,"EUROPE",24,"West","Female",0.398773006134969
"472",170,59,89,"EUROPE",21,"West","Female",0.347058823529412
"480",180,73,25,"ASIA",25,"East","Female",0.405555555555556
"481",178,68,87,"NORTHERN_AMERICA",18,"West","Female",0.382022471910112
"487",168,63,240,"EUROPE",27,"West","Female",0.375
"518",171,65,490,"EUROPE",23,"West","Female",0.380116959064327
"533",175,60,68,"EUROPE",23,"West","Female",0.342857142857143
"541",165,52,171,"EUROPE",19,"West","Female",0.315151515151515
"553",173,58,135,"EUROPE",23,"West","Female",0.335260115606936
"559",175,65,32,"EUROPE",22,"West","Female",0.371428571428571
"573",186,71,284,"EUROPE",17,"West","Female",0.381720430107527
"576",166,55,20,"EUROPE",31,"West","Female",0.331325301204819
"595",168,52,145,"EUROPE",24,"West","Female",0.30952380952381
"610",167,62,137,"EUROPE",24,"West","Female",0.37125748502994
"614",170,62,84,"EUROPE",23,"West","Female",0.364705882352941
"630",168,59,163,"EUROPE",20,"West","Female",0.351190476190476
"636",174,67,25,"OCEANIA",24,"West","Female",0.385057471264368
"643",171,65,175,"EUROPE",23,"West","Female",0.380116959064327
"655",186,76,126,"EUROPE",27,"West","Female",0.408602150537634
"657",179,55,87,"EUROPE",19,"West","Female",0.307262569832402
"660",162,59,268,"EUROPE",20,"West","Female",0.364197530864198
"661",169,65,507,"EUROPE",18,"West","Female",0.384615384615385
"673",169,61,54,"EUROPE",24,"West","Female",0.36094674556213
"682",172,65,60,"EUROPE",26,"West","Female",0.377906976744186
"705",171,59,66,"EUROPE",20,"West","Female",0.345029239766082
"708",181,66,80,"NORTHERN_AMERICA",25,"West","Female",0.364640883977901
"715",174,66,163,"ASIA",19,"East","Female",0.379310344827586
"726",163,61,63,"NORTHERN_AMERICA",26,"West","Female",0.374233128834356
"727",178,62,47,"EUROPE",22,"West","Female",0.348314606741573
"750",174,67,39,"OCEANIA",24,"West","Female",0.385057471264368
"755",168,58,128,"EUROPE",22,"West","Female",0.345238095238095
"771",168,50,35,"NORTHERN_AMERICA",18,"West","Female",0.297619047619048
"792",176,65,13,"EUROPE",30,"West","Female",0.369318181818182
"797",179,63,71,"EUROPE",23,"West","Female",0.35195530726257
"812",189,72,14,"EUROPE",22,"West","Female",0.380952380952381
"822",181,72,20,"EUROPE",21,"West","Female",0.397790055248619
"825",173,64,95,"EUROPE",26,"West","Female",0.369942196531792
"844",174,68,102,"EUROPE",20,"West","Female",0.390804597701149
"845",185,71,18,"NORTHERN_AMERICA",21,"West","Female",0.383783783783784
"866",172,61,26,"EUROPE",21,"West","Female",0.354651162790698
"872",183,63,7,"EUROPE",18,"West","Female",0.344262295081967
"878",165,58,342,"ASIA",23,"East","Female",0.351515151515152
"891",170,60,37,"EUROPE",20,"West","Female",0.352941176470588
"897",164,54,40,"ASIA",21,"East","Female",0.329268292682927
"919",156,51,122,"ASIA",23,"East","Female",0.326923076923077
"925",171,63,79,"EUROPE",22,"West","Female",0.368421052631579
"969",177,69,30,"EUROPE",19,"West","Female",0.389830508474576
"972",170,59,37,"EUROPE",22,"West","Female",0.347058823529412
"977",165,60,55,"EUROPE",31,"West","Female",0.363636363636364
"980",168,58,172,"EUROPE",21,"West","Female",0.345238095238095
"994",172,64,243,"EUROPE",20,"West","Female",0.372093023255814
"1004",170,64,170,"EUROPE",23,"West","Female",0.376470588235294
"1055",170,63,151,"EUROPE",32,"West","Female",0.370588235294118
"1061",178,64,121,"EUROPE",22,"West","Female",0.359550561797753
"1062",178,70,111,"EUROPE",23,"West","Female",0.393258426966292
"1063",169,66,295,"EUROPE",20,"West","Female",0.390532544378698
"1070",180,72,33,"EUROPE",28,"West","Female",0.4
"1071",177,59,1,"EUROPE",23,"West","Female",0.333333333333333
"1092",180,65,8,"EUROPE",26,"West","Female",0.361111111111111
