"","CH","sex","Background","variable","value"
"1244",671,"Male","West","Height",188
"1245",417,"Male","West","Height",188
"1246",1062,"Male","West","Height",180
"1247",817,"Male","West","Height",188
"1248",250,"Male","West","Height",173
"1249",366,"Male","West","Height",203
"1250",1530,"Male","West","Height",191
"1251",204,"Male","West","Height",183
"1252",1142,"Male","West","Height",175
"1253",1591,"Male","East","Height",191
"1254",190,"Male","West","Height",183
"1255",577,"Male","East","Height",178
"1256",1442,"Male","West","Height",191
"1257",362,"Male","West","Height",180
"1258",267,"Male","West","Height",183
"1259",74,"Male","West","Height",185
"1260",1024,"Male","West","Height",173
"1261",1065,"Male","West","Height",191
"1262",460,"Male","West","Height",196
"1263",984,"Male","East","Height",178
"1264",877,"Male","East","Height",191
"1265",915,"Male","West","Height",183
"1266",174,"Male","West","Height",183
"1267",1580,"Male","West","Height",180
"1268",300,"Male","West","Height",180
"1269",306,"Male","West","Height",193
"1270",633,"Male","West","Height",188
"1271",1140,"Male","West","Height",183
"1272",958,"Male","West","Height",183
"1273",1356,"Male","West","Height",180
"1274",1102,"Male","East","Height",173
"1275",1600,"Male","West","Height",193
"1276",234,"Male","West","Height",191
"1277",608,"Male","West","Height",191
"1278",1335,"Male","East","Height",170
"1279",936,"Male","West","Height",180
"1280",59,"Male","West","Height",188
"1281",1553,"Male","East","Height",188
"1282",1580,"Male","West","Height",178
"1283",869,"Male","West","Height",175
"1284",327,"Male","West","Height",188
"1285",344,"Male","West","Height",185
"1286",582,"Male","West","Height",187
"1287",1639,"Male","West","Height",185
"1288",953,"Male","West","Height",185
"1289",1333,"Male","West","Height",182
"1290",219,"Male","West","Height",167
"1291",1648,"Male","West","Height",190
"1292",1051,"Male","West","Height",190
"1293",1640,"Male","West","Height",180
"1294",1027,"Male","West","Height",193
"1295",214,"Male","West","Height",190
"1296",59,"Male","West","Height",177
"1297",1639,"Male","West","Height",185
"1298",1428,"Male","East","Height",180
"1299",222,"Male","West","Height",185
"1300",1464,"Male","East","Height",170
"1301",1088,"Male","East","Height",168
"1302",536,"Male","West","Height",188
"1303",410,"Male","West","Height",175
"1304",211,"Male","West","Height",180
"1305",1323,"Male","West","Height",178
"1306",1639,"Male","East","Height",185
"1307",912,"Male","East","Height",198
"1308",825,"Male","West","Height",180
"1309",1678,"Male","West","Height",188
"1310",1298,"Male","East","Height",183
"1311",334,"Male","West","Height",191
"1312",188,"Male","West","Height",193
"1313",1686,"Male","West","Height",177
"1314",344,"Male","West","Height",185
"1315",335,"Male","East","Height",185
"1316",1663,"Male","West","Height",178
"1317",1293,"Male","West","Height",191
"1318",1258,"Male","West","Height",180
"1319",1349,"Male","West","Height",178
"1320",497,"Male","West","Height",191
"1321",955,"Male","West","Height",180
"1322",671,"Male","East","Height",188
"1323",1572,"Male","West","Height",183
"1324",654,"Male","West","Height",183
"1325",79,"Male","West","Height",178
"1326",937,"Male","West","Height",188
"1327",598,"Male","West","Height",175
"1328",973,"Male","West","Height",157
"1329",1099,"Male","East","Height",175
"1330",123,"Male","West","Height",183
"1331",75,"Male","West","Height",185
"1332",882,"Male","West","Height",185
"1333",940,"Male","West","Height",191
"1334",1124,"Male","West","Height",180
"1335",740,"Male","West","Height",178
"1336",1600,"Male","West","Height",183
"1337",758,"Male","East","Height",170
"1338",901,"Male","West","Height",188
"1339",791,"Male","East","Height",180
"1340",1464,"Male","West","Height",185
"1341",908,"Male","East","Height",165
"1342",790,"Male","West","Height",188
"1343",961,"Male","West","Height",185
"1344",296,"Male","West","Height",180
"1345",1692,"Male","East","Height",185
"1346",1219,"Male","West","Height",180
"1347",324,"Male","West","Height",183
"1348",1218,"Male","West","Height",185
"1349",1355,"Male","West","Height",191
"1350",1307,"Male","East","Height",173
"1351",590,"Male","West","Height",180
"1352",1271,"Male","West","Height",178
"1353",1117,"Male","West","Height",188
"1354",371,"Male","West","Height",193
"1355",696,"Male","West","Height",191
"1356",532,"Male","West","Height",193
"1357",980,"Male","West","Height",185
"1358",1748,"Male","West","Height",177
"1359",1505,"Male","East","Height",185
"1360",214,"Male","West","Height",193
"1361",1346,"Male","West","Height",175
"1362",924,"Male","West","Height",188
"1363",454,"Male","West","Height",198
"1364",1316,"Male","West","Height",185
"1365",481,"Male","West","Height",193
"1366",350,"Male","West","Height",178
"1367",1654,"Male","West","Height",183
"1368",1497,"Male","East","Height",168
"1369",825,"Male","West","Height",187
"1370",1715,"Male","East","Height",172
"1371",806,"Male","West","Height",198
"1372",970,"Male","West","Height",185
"1373",661,"Male","West","Height",183
"1374",1401,"Male","West","Height",180
"1375",1513,"Male","West","Height",168
"1376",985,"Male","West","Height",188
"1377",801,"Male","West","Height",183
"1378",408,"Male","West","Height",198
"1379",1245,"Male","West","Height",190
"1380",1792,"Male","East","Height",175
"1381",1324,"Male","West","Height",196
"1382",1127,"Male","West","Height",178
"1383",752,"Male","West","Height",178
"1384",746,"Male","East","Height",180
"1385",901,"Male","West","Height",191
"1386",1023,"Male","East","Height",191
"1387",1570,"Male","East","Height",175
"1388",1594,"Male","East","Height",175
"1389",393,"Male","West","Height",182
"1390",655,"Male","West","Height",193
"1391",1238,"Male","East","Height",175
"1392",1355,"Male","West","Height",190
"1393",863,"Male","West","Height",188
"1394",1791,"Male","West","Height",187
"1395",1639,"Male","East","Height",180
"1396",912,"Male","West","Height",177
"1397",1200,"Male","West","Height",188
"1398",748,"Male","East","Height",203
"1399",934,"Male","West","Height",191
"1400",694,"Male","West","Height",188
"1401",491,"Male","West","Height",180
"1402",971,"Male","East","Height",170
"1403",1119,"Male","West","Height",170
"1404",797,"Male","West","Height",170
"1405",1692,"Male","West","Height",177
"1406",1524,"Male","West","Height",183
"1407",503,"Male","West","Height",185
"1408",1837,"Male","East","Height",177
"1409",814,"Male","West","Height",193
"1410",1558,"Male","East","Height",193
"1411",1527,"Male","West","Height",191
"1412",612,"Male","West","Height",183
"1413",657,"Male","West","Height",185
"1414",1059,"Male","West","Height",183
"1415",1520,"Male","West","Height",180
"1416",1378,"Male","West","Height",196
"1417",899,"Male","West","Height",170
"1418",1169,"Male","West","Height",180
"1419",1203,"Male","East","Height",183
"1420",945,"Male","East","Height",178
"1421",1464,"Male","East","Height",196
"1422",1400,"Male","West","Height",193
"1423",1743,"Male","West","Height",185
"1424",237,"Male","West","Height",178
"1425",1316,"Male","East","Height",185
"1426",1789,"Male","West","Height",175
"1427",650,"Male","East","Height",188
"1428",1251,"Male","West","Height",185
"1429",826,"Male","West","Height",175
"1430",656,"Male","West","Height",185
"1431",751,"Male","West","Height",183
"1432",816,"Male","East","Height",175
"1433",1361,"Male","West","Height",183
"1434",1057,"Male","East","Height",175
"1435",1184,"Male","West","Height",188
"1436",708,"Male","West","Height",183
"1437",1224,"Male","West","Height",182
"1438",1035,"Male","West","Height",175
"1439",1227,"Male","West","Height",183
"1440",1469,"Male","West","Height",193
"1441",917,"Male","West","Height",188
"1442",1441,"Male","West","Height",175
"1443",1956,"Male","West","Height",198
"1444",1008,"Male","West","Height",193
"1445",891,"Male","West","Height",175
"1446",1748,"Male","West","Height",188
"1447",945,"Male","West","Height",180
"1448",1643,"Male","West","Height",196
"1449",1866,"Male","West","Height",185
"1450",644,"Male","West","Height",175
"1451",1018,"Male","West","Height",178
"1452",1745,"Male","West","Height",180
"1453",1517,"Male","West","Height",185
"1454",525,"Male","West","Height",183
"1455",781,"Male","West","Height",183
"1456",1,"Female","West","Weight",62
"1457",1,"Female","West","Weight",72
"1458",1,"Female","East","Weight",69
"1459",1,"Female","West","Weight",60
"1460",3,"Female","West","Weight",60
"1461",2,"Female","West","Weight",70
"1462",7,"Female","West","Weight",63
"1463",4,"Female","West","Weight",74
"1464",1,"Female","West","Weight",70
"1465",4,"Female","West","Weight",70
"1466",7,"Female","West","Weight",66
"1467",15,"Female","West","Weight",63
"1468",14,"Female","West","Weight",59
"1469",12,"Female","West","Weight",67
"1470",18,"Female","West","Weight",66
"1471",19,"Female","West","Weight",64
"1472",1,"Female","West","Weight",68
"1473",22,"Female","West","Weight",62
"1474",3,"Female","West","Weight",61
"1475",14,"Female","West","Weight",65
"1476",11,"Female","West","Weight",65
"1477",9,"Female","West","Weight",70
"1478",12,"Female","East","Weight",60
"1479",13,"Female","West","Weight",72
"1480",23,"Female","West","Weight",64
"1481",16,"Female","West","Weight",60
"1482",27,"Female","East","Weight",59
"1483",1,"Female","West","Weight",73
"1484",1,"Female","West","Weight",63
"1485",36,"Female","East","Weight",62
"1486",10,"Female","West","Weight",60
"1487",41,"Female","West","Weight",59
"1488",5,"Female","West","Weight",68
"1489",4,"Female","West","Weight",61
"1490",23,"Female","East","Weight",65
"1491",37,"Female","West","Weight",63
"1492",35,"Female","West","Weight",70
"1493",1,"Female","West","Weight",70
"1494",39,"Female","West","Weight",67
"1495",1,"Female","West","Weight",72
"1496",2,"Female","West","Weight",73
"1497",6,"Female","West","Weight",62
"1498",56,"Female","West","Weight",68
"1499",53,"Female","West","Weight",61
"1500",31,"Female","West","Weight",69
"1501",59,"Female","West","Weight",70
"1502",11,"Female","West","Weight",63
"1503",26,"Female","West","Weight",55
"1504",61,"Female","West","Weight",56
"1505",35,"Female","West","Weight",73
"1506",30,"Female","West","Weight",60
"1507",10,"Female","West","Weight",62
"1508",23,"Female","West","Weight",67
"1509",54,"Female","West","Weight",60
"1510",21,"Female","West","Weight",59
"1511",27,"Female","West","Weight",62
"1512",30,"Female","East","Weight",55
"1513",2,"Female","West","Weight",56
"1514",14,"Female","East","Weight",61
"1515",55,"Female","West","Weight",70
"1516",31,"Female","East","Weight",64
"1517",9,"Female","West","Weight",69
"1518",51,"Female","West","Weight",56
"1519",64,"Female","West","Weight",69
"1520",83,"Female","East","Weight",64
"1521",24,"Female","West","Weight",62
"1522",41,"Female","West","Weight",73
"1523",62,"Female","West","Weight",62
"1524",46,"Female","West","Weight",62
"1525",38,"Female","West","Weight",63
"1526",35,"Female","West","Weight",60
"1527",13,"Female","West","Weight",55
"1528",4,"Female","West","Weight",68
"1529",26,"Female","West","Weight",54
"1530",22,"Female","West","Weight",67
"1531",15,"Female","West","Weight",74
"1532",56,"Female","East","Weight",58
"1533",61,"Female","West","Weight",65
"1534",25,"Female","West","Weight",68
"1535",71,"Female","West","Weight",60
"1536",20,"Female","West","Weight",59
"1537",110,"Female","West","Weight",63
"1538",54,"Female","West","Weight",70
"1539",28,"Female","West","Weight",63
"1540",42,"Female","West","Weight",60
"1541",40,"Female","West","Weight",65
"1542",9,"Female","West","Weight",62
"1543",59,"Female","West","Weight",62
"1544",134,"Female","West","Weight",59
"1545",1,"Female","West","Weight",59
"1546",66,"Female","West","Weight",65
"1547",26,"Female","West","Weight",63
"1548",2,"Female","West","Weight",59
"1549",32,"Female","East","Weight",53
"1550",45,"Female","West","Weight",68
"1551",12,"Female","West","Weight",68
"1552",52,"Female","West","Weight",58
"1553",73,"Female","West","Weight",66
"1554",39,"Female","West","Weight",53
"1555",99,"Female","West","Weight",60
"1556",71,"Female","West","Weight",59
"1557",19,"Female","West","Weight",72
"1558",111,"Female","West","Weight",68
"1559",23,"Female","West","Weight",69
"1560",17,"Female","West","Weight",65
"1561",48,"Female","West","Weight",68
"1562",67,"Female","West","Weight",60
"1563",50,"Female","West","Weight",60
"1564",94,"Female","West","Weight",67
"1565",147,"Female","West","Weight",58
"1566",46,"Female","West","Weight",58
"1567",35,"Female","West","Weight",67
"1568",105,"Female","East","Weight",66
"1569",5,"Female","West","Weight",60
"1570",170,"Female","West","Weight",64
"1571",116,"Female","West","Weight",60
"1572",124,"Female","West","Weight",66
"1573",166,"Female","East","Weight",55
"1574",45,"Female","West","Weight",66
"1575",165,"Female","West","Weight",68
"1576",5,"Female","West","Weight",61
"1577",55,"Female","West","Weight",65
"1578",198,"Female","West","Weight",60
"1579",102,"Female","West","Weight",69
"1580",20,"Female","West","Weight",61
"1581",154,"Female","West","Weight",55
"1582",154,"Female","West","Weight",62
"1583",189,"Female","West","Weight",61
"1584",105,"Female","West","Weight",59
"1585",66,"Female","East","Weight",67
"1586",124,"Female","West","Weight",73
"1587",57,"Female","West","Weight",63
"1588",132,"Female","West","Weight",61
"1589",59,"Female","West","Weight",56
"1590",58,"Female","West","Weight",64
"1591",97,"Female","West","Weight",64
"1592",29,"Female","West","Weight",57
"1593",7,"Female","West","Weight",56
"1594",38,"Female","West","Weight",64
"1595",102,"Female","West","Weight",58
"1596",41,"Female","West","Weight",72
"1597",70,"Female","East","Weight",57
"1598",4,"Female","West","Weight",55
"1599",5,"Female","West","Weight",62
"1600",102,"Female","West","Weight",66
"1601",10,"Female","West","Weight",70
"1602",12,"Female","West","Weight",68
"1603",31,"Female","West","Weight",65
"1604",111,"Female","West","Weight",66
"1605",95,"Female","West","Weight",56
"1606",144,"Female","East","Weight",62
"1607",166,"Female","East","Weight",63
"1608",35,"Female","West","Weight",63
"1609",60,"Female","East","Weight",84
"1610",107,"Female","West","Weight",64
"1611",40,"Female","West","Weight",68
"1612",30,"Female","West","Weight",66
"1613",20,"Female","West","Weight",65
"1614",50,"Female","East","Weight",74
"1615",349,"Female","West","Weight",63
"1616",202,"Female","West","Weight",59
"1617",31,"Female","West","Weight",59
"1618",76,"Female","West","Weight",74
"1619",424,"Female","West","Weight",62
"1620",294,"Female","West","Weight",61
"1621",145,"Female","West","Weight",65
"1622",89,"Female","West","Weight",59
"1623",25,"Female","East","Weight",73
"1624",87,"Female","West","Weight",68
"1625",240,"Female","West","Weight",63
"1626",490,"Female","West","Weight",65
"1627",68,"Female","West","Weight",60
"1628",171,"Female","West","Weight",52
"1629",135,"Female","West","Weight",58
"1630",32,"Female","West","Weight",65
"1631",284,"Female","West","Weight",71
"1632",20,"Female","West","Weight",55
"1633",145,"Female","West","Weight",52
"1634",137,"Female","West","Weight",62
"1635",84,"Female","West","Weight",62
"1636",163,"Female","West","Weight",59
"1637",25,"Female","West","Weight",67
"1638",175,"Female","West","Weight",65
"1639",126,"Female","West","Weight",76
"1640",87,"Female","West","Weight",55
"1641",268,"Female","West","Weight",59
"1642",507,"Female","West","Weight",65
"1643",54,"Female","West","Weight",61
"1644",60,"Female","West","Weight",65
"1645",66,"Female","West","Weight",59
"1646",80,"Female","West","Weight",66
"1647",163,"Female","East","Weight",66
"1648",63,"Female","West","Weight",61
"1649",47,"Female","West","Weight",62
"1650",39,"Female","West","Weight",67
"1651",128,"Female","West","Weight",58
"1652",35,"Female","West","Weight",50
"1653",13,"Female","West","Weight",65
"1654",71,"Female","West","Weight",63
"1655",14,"Female","West","Weight",72
"1656",20,"Female","West","Weight",72
"1657",95,"Female","West","Weight",64
"1658",102,"Female","West","Weight",68
"1659",18,"Female","West","Weight",71
"1660",26,"Female","West","Weight",61
"1661",7,"Female","West","Weight",63
"1662",342,"Female","East","Weight",58
"1663",37,"Female","West","Weight",60
"1664",40,"Female","East","Weight",54
"1665",122,"Female","East","Weight",51
"1666",79,"Female","West","Weight",63
"1667",30,"Female","West","Weight",69
"1668",37,"Female","West","Weight",59
"1669",55,"Female","West","Weight",60
"1670",172,"Female","West","Weight",58
"1671",243,"Female","West","Weight",64
"1672",170,"Female","West","Weight",64
"1673",151,"Female","West","Weight",63
"1674",121,"Female","West","Weight",64
"1675",111,"Female","West","Weight",70
"1676",295,"Female","West","Weight",66
"1677",33,"Female","West","Weight",72
"1678",1,"Female","West","Weight",59
"1679",8,"Female","West","Weight",65
"1680",50,"Female","West","Weight",62
"1681",33,"Female","West","Weight",61
"1682",21,"Female","West","Weight",60
"1683",149,"Female","East","Weight",60
"1684",475,"Female","West","Weight",61
"1685",350,"Female","West","Weight",79
"1686",422,"Female","West","Weight",58
"1687",32,"Female","West","Weight",61
"1688",40,"Female","West","Weight",60
"1689",47,"Female","West","Weight",68
"1690",98,"Female","West","Weight",77
"1691",188,"Female","West","Weight",67
"1692",146,"Female","West","Weight",68
"1693",4,"Female","East","Weight",53
"1694",26,"Female","West","Weight",60
"1695",48,"Female","West","Weight",68
"1696",76,"Female","West","Weight",57
"1697",110,"Female","West","Weight",67
"1698",55,"Female","West","Weight",59
"1699",42,"Female","East","Weight",67
"1700",66,"Female","West","Weight",76
"1701",20,"Female","West","Weight",65
"1702",1,"Male","West","Weight",85
"1703",1,"Male","West","Weight",77
"1704",1,"Male","West","Weight",85
"1705",4,"Male","West","Weight",83
"1706",4,"Male","West","Weight",79
"1707",5,"Male","West","Weight",85
"1708",3,"Male","West","Weight",90
"1709",8,"Male","West","Weight",95
"1710",9,"Male","West","Weight",75
"1711",6,"Male","West","Weight",85
"1712",7,"Male","West","Weight",70
"1713",9,"Male","West","Weight",79
"1714",4,"Male","East","Weight",73
"1715",15,"Male","West","Weight",75
"1716",3,"Male","West","Weight",81
"1717",8,"Male","West","Weight",87
"1718",18,"Male","West","Weight",69
"1719",8,"Male","West","Weight",108
"1720",3,"Male","West","Weight",81
"1721",17,"Male","West","Weight",88
"1722",10,"Male","West","Weight",84
"1723",22,"Male","West","Weight",70
"1724",18,"Male","West","Weight",80
"1725",16,"Male","West","Weight",79
"1726",10,"Male","West","Weight",78
"1727",12,"Male","West","Weight",85
"1728",5,"Male","West","Weight",93
"1729",13,"Male","West","Weight",85
"1730",3,"Male","West","Weight",98
"1731",25,"Male","West","Weight",86
"1732",23,"Male","West","Weight",83
"1733",33,"Male","West","Weight",92
"1734",33,"Male","West","Weight",81
"1735",27,"Male","West","Weight",82
"1736",3,"Male","West","Weight",89
"1737",26,"Male","West","Weight",75
"1738",17,"Male","West","Weight",76
"1739",41,"Male","West","Weight",75
"1740",22,"Male","West","Weight",79
"1741",11,"Male","West","Weight",95
"1742",39,"Male","West","Weight",69
"1743",29,"Male","West","Weight",86
"1744",48,"Male","East","Weight",77
"1745",33,"Male","West","Weight",79
"1746",7,"Male","West","Weight",90
"1747",25,"Male","West","Weight",75
"1748",46,"Male","West","Weight",76
"1749",41,"Male","West","Weight",82
"1750",46,"Male","West","Weight",73
"1751",54,"Male","West","Weight",77
"1752",6,"Male","West","Weight",70
"1753",32,"Male","West","Weight",80
"1754",43,"Male","West","Weight",73
"1755",47,"Male","West","Weight",75
"1756",28,"Male","West","Weight",74
"1757",7,"Male","West","Weight",79
"1758",12,"Male","West","Weight",88
"1759",43,"Male","West","Weight",82
"1760",36,"Male","West","Weight",75
"1761",50,"Male","West","Weight",77
"1762",39,"Male","East","Weight",72
"1763",14,"Male","West","Weight",83
"1764",41,"Male","West","Weight",89
"1765",58,"Male","East","Weight",64
"1766",31,"Male","West","Weight",82
"1767",16,"Male","West","Weight",78
"1768",73,"Male","West","Weight",75
"1769",18,"Male","West","Weight",78
"1770",78,"Male","East","Weight",78
"1771",16,"Male","West","Weight",70
"1772",72,"Male","West","Weight",77
"1773",80,"Male","West","Weight",68
"1774",80,"Male","West","Weight",80
"1775",83,"Male","West","Weight",80
"1776",21,"Male","West","Weight",86
"1777",81,"Male","East","Weight",72
"1778",79,"Male","West","Weight",80
"1779",82,"Male","West","Weight",80
"1780",83,"Male","West","Weight",76
"1781",79,"Male","West","Weight",82
"1782",92,"Male","West","Weight",85
"1783",75,"Male","East","Weight",80
"1784",93,"Male","West","Weight",75
"1785",87,"Male","West","Weight",78
"1786",95,"Male","West","Weight",80
"1787",52,"Male","West","Weight",76
"1788",91,"Male","West","Weight",85
"1789",4,"Male","West","Weight",91
"1790",93,"Male","West","Weight",78
"1791",35,"Male","West","Weight",94
"1792",63,"Male","West","Weight",75
"1793",36,"Male","East","Weight",72
"1794",65,"Male","West","Weight",75
"1795",80,"Male","West","Weight",85
"1796",82,"Male","West","Weight",82
"1797",64,"Male","East","Weight",80
"1798",19,"Male","West","Weight",80
"1799",98,"Male","West","Weight",80
"1800",53,"Male","West","Weight",80
"1801",8,"Male","West","Weight",73
"1802",70,"Male","West","Weight",70
"1803",96,"Male","West","Weight",70
"1804",33,"Male","West","Weight",78
"1805",118,"Male","West","Weight",77
"1806",47,"Male","East","Weight",73
"1807",39,"Male","West","Weight",83
"1808",105,"Male","West","Weight",79
"1809",123,"Male","West","Weight",77
"1810",98,"Male","West","Weight",76
"1811",104,"Male","West","Weight",80
"1812",1,"Male","West","Weight",82
"1813",60,"Male","East","Weight",75
"1814",128,"Male","East","Weight",69
"1815",19,"Male","East","Weight",89
"1816",132,"Male","West","Weight",78
"1817",57,"Male","West","Weight",73
"1818",130,"Male","West","Weight",78
"1819",136,"Male","West","Weight",76
"1820",99,"Male","West","Weight",70
"1821",78,"Male","West","Weight",85
"1822",25,"Male","West","Weight",79
"1823",138,"Male","West","Weight",78
"1824",141,"Male","East","Weight",87
"1825",24,"Male","West","Weight",85
"1826",80,"Male","West","Weight",84
"1827",23,"Male","West","Weight",80
"1828",141,"Male","West","Weight",75
"1829",127,"Male","West","Weight",83
"1830",31,"Male","West","Weight",80
"1831",84,"Male","West","Weight",82
"1832",137,"Male","West","Weight",76
"1833",25,"Male","West","Weight",88
"1834",144,"Male","West","Weight",84
"1835",56,"Male","West","Weight",87
"1836",26,"Male","West","Weight",83
"1837",38,"Male","West","Weight",78
"1838",97,"Male","West","Weight",68
"1839",12,"Male","West","Weight",86
"1840",125,"Male","West","Weight",84
"1841",160,"Male","West","Weight",82
"1842",33,"Male","West","Weight",77
"1843",129,"Male","West","Weight",79
"1844",146,"Male","West","Weight",75
"1845",126,"Male","West","Weight",81
"1846",71,"Male","West","Weight",70
"1847",126,"Male","West","Weight",76
"1848",167,"Male","West","Weight",85
"1849",99,"Male","West","Weight",86
"1850",172,"Male","West","Weight",86
"1851",80,"Male","West","Weight",82
"1852",175,"Male","West","Weight",74
"1853",33,"Male","East","Weight",85
"1854",161,"Male","West","Weight",82
"1855",148,"Male","West","Weight",84
"1856",99,"Male","West","Weight",80
"1857",153,"Male","West","Weight",82
"1858",178,"Male","West","Weight",74
"1859",44,"Male","West","Weight",87
"1860",180,"Male","West","Weight",89
"1861",154,"Male","West","Weight",76
"1862",110,"Male","West","Weight",80
"1863",102,"Male","West","Weight",78
"1864",17,"Male","West","Weight",91
"1865",164,"Male","West","Weight",78
"1866",178,"Male","East","Weight",87
"1867",178,"Male","West","Weight",85
"1868",194,"Male","East","Weight",77
"1869",37,"Male","West","Weight",82
"1870",159,"Male","West","Weight",82
"1871",136,"Male","West","Weight",69
"1872",85,"Male","West","Weight",86
"1873",111,"Male","East","Weight",80
"1874",200,"Male","West","Weight",83
"1875",69,"Male","West","Weight",84
"1876",170,"Male","West","Weight",80
"1877",205,"Male","West","Weight",83
"1878",202,"Male","West","Weight",88
"1879",147,"Male","West","Weight",82
"1880",64,"Male","West","Weight",78
"1881",5,"Male","West","Weight",75
"1882",174,"Male","West","Weight",75
"1883",144,"Male","West","Weight",80
"1884",175,"Male","West","Weight",78
"1885",125,"Male","West","Weight",70
"1886",200,"Male","East","Weight",80
"1887",143,"Male","East","Weight",65
"1888",8,"Male","West","Weight",80
"1889",208,"Male","West","Weight",75
"1890",188,"Male","West","Weight",80
"1891",181,"Male","West","Weight",69
"1892",3,"Male","West","Weight",73
"1893",118,"Male","West","Weight",80
"1894",10,"Male","West","Weight",85
"1895",140,"Male","West","Weight",83
"1896",142,"Male","West","Weight",72
"1897",152,"Male","West","Weight",90
"1898",67,"Male","West","Weight",82
"1899",219,"Male","West","Weight",75
"1900",38,"Male","West","Weight",80
"1901",233,"Male","West","Weight",82
"1902",111,"Male","West","Weight",75
"1903",64,"Male","West","Weight",76
"1904",159,"Male","West","Weight",80
"1905",45,"Male","West","Weight",84
"1906",39,"Male","West","Weight",80
"1907",211,"Male","West","Weight",85
"1908",173,"Male","West","Weight",88
"1909",49,"Male","West","Weight",82
"1910",203,"Male","West","Weight",78
"1911",240,"Male","West","Weight",70
"1912",72,"Male","East","Weight",81
"1913",229,"Male","East","Weight",79
"1914",237,"Male","West","Weight",73
"1915",144,"Male","West","Weight",78
"1916",252,"Male","West","Weight",68
"1917",250,"Male","West","Weight",86
"1918",130,"Male","East","Weight",75
"1919",84,"Male","West","Weight",75
"1920",241,"Male","West","Weight",80
"1921",208,"Male","West","Weight",76
"1922",236,"Male","East","Weight",80
"1923",212,"Male","West","Weight",85
"1924",91,"Male","West","Weight",74
"1925",154,"Male","West","Weight",78
"1926",194,"Male","West","Weight",79
"1927",137,"Male","East","Weight",85
"1928",259,"Male","East","Weight",66
"1929",253,"Male","West","Weight",84
"1930",272,"Male","West","Weight",82
"1931",201,"Male","West","Weight",78
"1932",263,"Male","West","Weight",88
"1933",43,"Male","West","Weight",83
"1934",279,"Male","West","Weight",90
"1935",192,"Male","West","Weight",85
"1936",113,"Male","West","Weight",73
"1937",187,"Male","West","Weight",86
"1938",161,"Male","West","Weight",72
"1939",18,"Male","West","Weight",82
"1940",197,"Male","West","Weight",73
"1941",234,"Male","West","Weight",80
"1942",224,"Male","West","Weight",80
"1943",108,"Male","West","Weight",84
"1944",25,"Male","West","Weight",89
"1945",96,"Male","West","Weight",90
"1946",293,"Male","West","Weight",78
"1947",78,"Male","West","Weight",80
"1948",233,"Male","East","Weight",78
"1949",273,"Male","West","Weight",75
"1950",277,"Male","West","Weight",80
"1951",296,"Male","West","Weight",77
"1952",171,"Male","East","Weight",63
"1953",303,"Male","West","Weight",73
"1954",89,"Male","West","Weight",78
"1955",302,"Male","West","Weight",85
"1956",193,"Male","West","Weight",75
"1957",129,"Male","West","Weight",82
"1958",276,"Male","West","Weight",73
"1959",40,"Male","West","Weight",84
"1960",162,"Male","West","Weight",86
"1961",296,"Male","West","Weight",81
"1962",266,"Male","West","Weight",75
"1963",314,"Male","West","Weight",86
"1964",293,"Male","West","Weight",85
"1965",213,"Male","West","Weight",77
"1966",140,"Male","East","Weight",65
"1967",153,"Male","West","Weight",72
"1968",68,"Male","West","Weight",73
"1969",303,"Male","West","Weight",85
"1970",314,"Male","West","Weight",73
"1971",282,"Male","West","Weight",73
"1972",310,"Male","West","Weight",75
"1973",152,"Male","West","Weight",83
"1974",22,"Male","West","Weight",70
"1975",52,"Male","West","Weight",85
"1976",177,"Male","West","Weight",87
"1977",336,"Male","East","Weight",80
"1978",191,"Male","West","Weight",80
"1979",36,"Male","West","Weight",83
"1980",332,"Male","West","Weight",69
"1981",182,"Male","West","Weight",84
"1982",316,"Male","West","Weight",80
"1983",185,"Male","West","Weight",80
"1984",270,"Male","West","Weight",70
"1985",189,"Male","West","Weight",73
"1986",207,"Male","West","Weight",78
"1987",312,"Male","West","Weight",80
"1988",250,"Male","West","Weight",79
"1989",319,"Male","West","Weight",86
"1990",356,"Male","West","Weight",73
"1991",258,"Male","West","Weight",90
"1992",359,"Male","West","Weight",75
"1993",48,"Male","West","Weight",80
"1994",148,"Male","East","Weight",85
"1995",335,"Male","East","Weight",62
"1996",210,"Male","West","Weight",88
"1997",211,"Male","West","Weight",75
"1998",368,"Male","West","Weight",84
"1999",142,"Male","West","Weight",84
"2000",320,"Male","East","Weight",74
"2001",100,"Male","West","Weight",94
"2002",372,"Male","East","Weight",75
"2003",176,"Male","West","Weight",76
"2004",371,"Male","West","Weight",94
"2005",57,"Male","West","Weight",76
"2006",273,"Male","West","Weight",76
"2007",325,"Male","West","Weight",81
"2008",250,"Male","West","Weight",72
"2009",380,"Male","West","Weight",82
"2010",260,"Male","West","Weight",83
"2011",346,"Male","West","Weight",79
"2012",234,"Male","West","Weight",72
"2013",385,"Male","West","Weight",72
"2014",296,"Male","West","Weight",89
"2015",275,"Male","West","Weight",80
"2016",253,"Male","East","Weight",74
"2017",72,"Male","West","Weight",76
"2018",68,"Male","West","Weight",78
"2019",382,"Male","West","Weight",78
"2020",267,"Male","West","Weight",85
"2021",397,"Male","West","Weight",77
"2022",333,"Male","West","Weight",89
"2023",276,"Male","West","Weight",78
"2024",370,"Male","West","Weight",75
"2025",401,"Male","West","Weight",75
"2026",153,"Male","West","Weight",80
