"","CH","sex","Background","variable","value"
"199",71,"Female","West","Height",179
"200",14,"Female","West","Height",189
"201",20,"Female","West","Height",181
"202",95,"Female","West","Height",173
"203",102,"Female","West","Height",174
"204",18,"Female","West","Height",185
"205",26,"Female","West","Height",172
"206",7,"Female","West","Height",183
"207",342,"Female","East","Height",165
"208",37,"Female","West","Height",170
"209",40,"Female","East","Height",164
"210",122,"Female","East","Height",156
"211",79,"Female","West","Height",171
"212",30,"Female","West","Height",177
"213",37,"Female","West","Height",170
"214",55,"Female","West","Height",165
"215",172,"Female","West","Height",168
"216",243,"Female","West","Height",172
"217",170,"Female","West","Height",170
"218",151,"Female","West","Height",170
"219",121,"Female","West","Height",178
"220",111,"Female","West","Height",178
"221",295,"Female","West","Height",169
"222",33,"Female","West","Height",180
"223",1,"Female","West","Height",177
"224",8,"Female","West","Height",180
"225",50,"Female","West","Height",171
"226",33,"Female","West","Height",173
"227",21,"Female","West","Height",175
"228",149,"Female","East","Height",167
"229",475,"Female","West","Height",176
"230",350,"Female","West","Height",179
"231",422,"Female","West","Height",168
"232",32,"Female","West","Height",180
"233",40,"Female","West","Height",163
"234",47,"Female","West","Height",175
"235",98,"Female","West","Height",188
"236",188,"Female","West","Height",180
"237",146,"Female","West","Height",180
"238",4,"Female","East","Height",163
"239",26,"Female","West","Height",165
"240",48,"Female","West","Height",176
"241",76,"Female","West","Height",165
"242",110,"Female","West","Height",178
"243",55,"Female","West","Height",173
"244",42,"Female","East","Height",183
"245",66,"Female","West","Height",175
"246",20,"Female","West","Height",174
"247",1,"Male","West","Height",185
"248",1,"Male","West","Height",188
"249",1,"Male","West","Height",185
"250",4,"Male","West","Height",198
"251",4,"Male","West","Height",185
"252",5,"Male","West","Height",193
"253",3,"Male","West","Height",198
"254",8,"Male","West","Height",196
"255",9,"Male","West","Height",183
"256",6,"Male","West","Height",193
"257",7,"Male","West","Height",180
"258",9,"Male","West","Height",178
"259",4,"Male","East","Height",178
"260",15,"Male","West","Height",185
"261",3,"Male","West","Height",183
"262",8,"Male","West","Height",198
"263",18,"Male","West","Height",183
"264",8,"Male","West","Height",208
"265",3,"Male","West","Height",191
"266",17,"Male","West","Height",193
"267",10,"Male","West","Height",185
"268",22,"Male","West","Height",188
"269",18,"Male","West","Height",196
"270",16,"Male","West","Height",185
"271",10,"Male","West","Height",188
"272",12,"Male","West","Height",188
"273",5,"Male","West","Height",188
"274",13,"Male","West","Height",193
"275",3,"Male","West","Height",196
"276",25,"Male","West","Height",193
"277",23,"Male","West","Height",183
"278",33,"Male","West","Height",193
"279",33,"Male","West","Height",196
"280",27,"Male","West","Height",188
"281",3,"Male","West","Height",198
"282",26,"Male","West","Height",185
"283",17,"Male","West","Height",188
"284",41,"Male","West","Height",175
"285",22,"Male","West","Height",180
"286",11,"Male","West","Height",198
"287",39,"Male","West","Height",175
"288",29,"Male","West","Height",188
"289",48,"Male","East","Height",198
"290",33,"Male","West","Height",183
"291",7,"Male","West","Height",188
"292",25,"Male","West","Height",188
"293",46,"Male","West","Height",191
"294",41,"Male","West","Height",188
"295",46,"Male","West","Height",188
"296",54,"Male","West","Height",183
"297",6,"Male","West","Height",183
"298",32,"Male","West","Height",180
"299",43,"Male","West","Height",183
"300",47,"Male","West","Height",183
"301",28,"Male","West","Height",185
"302",7,"Male","West","Height",183
"303",12,"Male","West","Height",188
"304",43,"Male","West","Height",183
"305",36,"Male","West","Height",188
"306",50,"Male","West","Height",175
"307",39,"Male","East","Height",183
"308",14,"Male","West","Height",188
"309",41,"Male","West","Height",188
"310",58,"Male","East","Height",170
"311",31,"Male","West","Height",188
"312",16,"Male","West","Height",185
"313",73,"Male","West","Height",183
"314",18,"Male","West","Height",191
"315",78,"Male","East","Height",183
"316",16,"Male","West","Height",178
"317",72,"Male","West","Height",183
"318",80,"Male","West","Height",175
"319",80,"Male","West","Height",183
"320",83,"Male","West","Height",180
"321",21,"Male","West","Height",188
"322",81,"Male","East","Height",180
"323",79,"Male","West","Height",185
"324",82,"Male","West","Height",183
"325",83,"Male","West","Height",183
"326",79,"Male","West","Height",185
"327",92,"Male","West","Height",193
"328",75,"Male","East","Height",188
"329",93,"Male","West","Height",188
"330",87,"Male","West","Height",196
"331",95,"Male","West","Height",185
"332",52,"Male","West","Height",183
"333",91,"Male","West","Height",196
"334",4,"Male","West","Height",196
"335",93,"Male","West","Height",185
"336",35,"Male","West","Height",198
"337",63,"Male","West","Height",183
"338",36,"Male","East","Height",175
"339",65,"Male","West","Height",185
"340",80,"Male","West","Height",193
"341",82,"Male","West","Height",183
"342",64,"Male","East","Height",191
"343",19,"Male","West","Height",191
"344",98,"Male","West","Height",183
"345",53,"Male","West","Height",180
"346",8,"Male","West","Height",183
"347",70,"Male","West","Height",173
"348",96,"Male","West","Height",185
"349",33,"Male","West","Height",183
"350",118,"Male","West","Height",188
"351",47,"Male","East","Height",178
"352",39,"Male","West","Height",188
"353",105,"Male","West","Height",183
"354",123,"Male","West","Height",180
"355",98,"Male","West","Height",183
"356",104,"Male","West","Height",183
"357",1,"Male","West","Height",191
"358",60,"Male","East","Height",180
"359",128,"Male","East","Height",178
"360",19,"Male","East","Height",188
"361",132,"Male","West","Height",188
"362",57,"Male","West","Height",178
"363",130,"Male","West","Height",180
"364",136,"Male","West","Height",175
"365",99,"Male","West","Height",178
"366",78,"Male","West","Height",193
"367",25,"Male","West","Height",185
"368",138,"Male","West","Height",183
"369",141,"Male","East","Height",193
"370",24,"Male","West","Height",191
"371",80,"Male","West","Height",193
"372",23,"Male","West","Height",185
"373",141,"Male","West","Height",185
"374",127,"Male","West","Height",180
"375",31,"Male","West","Height",193
"376",84,"Male","West","Height",185
"377",137,"Male","West","Height",188
"378",25,"Male","West","Height",193
"379",144,"Male","West","Height",180
"380",56,"Male","West","Height",193
"381",26,"Male","West","Height",193
"382",38,"Male","West","Height",175
"383",97,"Male","West","Height",180
"384",12,"Male","West","Height",193
"385",125,"Male","West","Height",183
"386",160,"Male","West","Height",183
"387",33,"Male","West","Height",191
"388",129,"Male","West","Height",193
"389",146,"Male","West","Height",185
"390",126,"Male","West","Height",191
"391",71,"Male","West","Height",183
"392",126,"Male","West","Height",185
"393",167,"Male","West","Height",193
"394",99,"Male","West","Height",193
"395",172,"Male","West","Height",203
"396",80,"Male","West","Height",183
"397",175,"Male","West","Height",178
"398",33,"Male","East","Height",188
"399",161,"Male","West","Height",188
"400",148,"Male","West","Height",198
"401",99,"Male","West","Height",183
"402",153,"Male","West","Height",188
"403",178,"Male","West","Height",178
"404",44,"Male","West","Height",188
"405",180,"Male","West","Height",198
"406",154,"Male","West","Height",180
"407",110,"Male","West","Height",183
"408",102,"Male","West","Height",191
"409",17,"Male","West","Height",196
"410",164,"Male","West","Height",180
"411",178,"Male","East","Height",191
"412",178,"Male","West","Height",193
"413",194,"Male","East","Height",185
"414",37,"Male","West","Height",191
"415",159,"Male","West","Height",188
"416",136,"Male","West","Height",178
"417",85,"Male","West","Height",188
"418",111,"Male","East","Height",188
"419",200,"Male","West","Height",188
"420",69,"Male","West","Height",193
"421",170,"Male","West","Height",193
"422",205,"Male","West","Height",183
"423",202,"Male","West","Height",193
"424",147,"Male","West","Height",201
"425",64,"Male","West","Height",196
"426",5,"Male","West","Height",180
"427",174,"Male","West","Height",185
"428",144,"Male","West","Height",180
"429",175,"Male","West","Height",183
"430",125,"Male","West","Height",175
"431",200,"Male","East","Height",185
"432",143,"Male","East","Height",168
"433",8,"Male","West","Height",180
"434",208,"Male","West","Height",185
"435",188,"Male","West","Height",188
"436",181,"Male","West","Height",183
"437",3,"Male","West","Height",175
"438",118,"Male","West","Height",185
"439",10,"Male","West","Height",191
"440",140,"Male","West","Height",188
"441",142,"Male","West","Height",180
"442",152,"Male","West","Height",196
"443",67,"Male","West","Height",185
"444",219,"Male","West","Height",183
"445",38,"Male","West","Height",183
"446",233,"Male","West","Height",188
"447",111,"Male","West","Height",183
"448",64,"Male","West","Height",178
"449",159,"Male","West","Height",183
"450",45,"Male","West","Height",191
"451",39,"Male","West","Height",188
"452",211,"Male","West","Height",191
"453",173,"Male","West","Height",193
"454",49,"Male","West","Height",185
"455",203,"Male","West","Height",183
"456",240,"Male","West","Height",168
"457",72,"Male","East","Height",193
"458",229,"Male","East","Height",185
"459",237,"Male","West","Height",180
"460",144,"Male","West","Height",180
"461",252,"Male","West","Height",173
"462",250,"Male","West","Height",191
"463",130,"Male","East","Height",175
"464",84,"Male","West","Height",183
"465",241,"Male","West","Height",183
"466",208,"Male","West","Height",185
"467",236,"Male","East","Height",183
"468",212,"Male","West","Height",185
"469",91,"Male","West","Height",178
"470",154,"Male","West","Height",183
"471",194,"Male","West","Height",185
"472",137,"Male","East","Height",193
"473",259,"Male","East","Height",168
"474",253,"Male","West","Height",188
"475",272,"Male","West","Height",188
"476",201,"Male","West","Height",183
"477",263,"Male","West","Height",196
"478",43,"Male","West","Height",188
"479",279,"Male","West","Height",196
"480",192,"Male","West","Height",191
"481",113,"Male","West","Height",183
"482",187,"Male","West","Height",191
"483",161,"Male","West","Height",180
"484",18,"Male","West","Height",191
"485",197,"Male","West","Height",178
"486",234,"Male","West","Height",196
"487",224,"Male","West","Height",178
"488",108,"Male","West","Height",188
"489",25,"Male","West","Height",191
"490",96,"Male","West","Height",188
"491",293,"Male","West","Height",185
"492",78,"Male","West","Height",191
"493",233,"Male","East","Height",178
"494",273,"Male","West","Height",193
"495",277,"Male","West","Height",188
"496",296,"Male","West","Height",185
"497",171,"Male","East","Height",180
"498",303,"Male","West","Height",183
"499",89,"Male","West","Height",188
"500",302,"Male","West","Height",196
"501",193,"Male","West","Height",173
"502",129,"Male","West","Height",183
"503",276,"Male","West","Height",185
"504",40,"Male","West","Height",185
"505",162,"Male","West","Height",191
"506",296,"Male","West","Height",196
"507",266,"Male","West","Height",180
"508",314,"Male","West","Height",203
"509",293,"Male","West","Height",183
"510",213,"Male","West","Height",183
"511",140,"Male","East","Height",173
"512",153,"Male","West","Height",180
"513",68,"Male","West","Height",175
"514",303,"Male","West","Height",193
"515",314,"Male","West","Height",183
"516",282,"Male","West","Height",178
"517",310,"Male","West","Height",191
"518",152,"Male","West","Height",188
"519",22,"Male","West","Height",175
"520",52,"Male","West","Height",191
"521",177,"Male","West","Height",193
"522",336,"Male","East","Height",180
"523",191,"Male","West","Height",185
"524",36,"Male","West","Height",183
"525",332,"Male","West","Height",178
"526",182,"Male","West","Height",185
"527",316,"Male","West","Height",191
"528",185,"Male","West","Height",185
"529",270,"Male","West","Height",183
"530",189,"Male","West","Height",173
"531",207,"Male","West","Height",188
"532",312,"Male","West","Height",185
"533",250,"Male","West","Height",183
"534",319,"Male","West","Height",196
"535",356,"Male","West","Height",180
"536",258,"Male","West","Height",191
"537",359,"Male","West","Height",183
"538",48,"Male","West","Height",183
"539",148,"Male","East","Height",188
"540",335,"Male","East","Height",163
"541",210,"Male","West","Height",191
"542",211,"Male","West","Height",185
"543",368,"Male","West","Height",193
"544",142,"Male","West","Height",191
"545",320,"Male","East","Height",178
"546",100,"Male","West","Height",198
"547",372,"Male","East","Height",178
"548",176,"Male","West","Height",185
"549",371,"Male","West","Height",193
"550",57,"Male","West","Height",183
"551",273,"Male","West","Height",185
"552",325,"Male","West","Height",180
"553",250,"Male","West","Height",183
"554",380,"Male","West","Height",191
"555",260,"Male","West","Height",188
"556",346,"Male","West","Height",185
"557",234,"Male","West","Height",175
"558",385,"Male","West","Height",183
"559",296,"Male","West","Height",188
"560",275,"Male","West","Height",191
"561",253,"Male","East","Height",188
"562",72,"Male","West","Height",185
"563",68,"Male","West","Height",188
"564",382,"Male","West","Height",183
"565",267,"Male","West","Height",188
"566",397,"Male","West","Height",185
"567",333,"Male","West","Height",193
"568",276,"Male","West","Height",188
"569",370,"Male","West","Height",183
"570",401,"Male","West","Height",183
"571",153,"Male","West","Height",185
"572",169,"Male","West","Height",188
"573",319,"Male","West","Height",185
"574",398,"Male","East","Height",168
"575",391,"Male","West","Height",170
"576",391,"Male","West","Height",188
"577",259,"Male","West","Height",173
"578",338,"Male","West","Height",180
"579",265,"Male","West","Height",175
"580",324,"Male","West","Height",193
"581",390,"Male","West","Height",185
"582",183,"Male","West","Height",183
"583",179,"Male","West","Height",188
"584",327,"Male","West","Height",185
"585",422,"Male","West","Height",188
"586",423,"Male","West","Height",180
"587",380,"Male","West","Height",188
"588",293,"Male","West","Height",183
"589",345,"Male","West","Height",193
"590",314,"Male","West","Height",178
"591",404,"Male","West","Height",193
"592",381,"Male","West","Height",196
"593",427,"Male","West","Height",185
"594",355,"Male","West","Height",191
"595",283,"Male","West","Height",193
"596",320,"Male","West","Height",198
"597",282,"Male","West","Height",191
"598",433,"Male","West","Height",193
"599",409,"Male","West","Height",185
"600",342,"Male","West","Height",191
"601",372,"Male","West","Height",178
"602",439,"Male","West","Height",178
"603",444,"Male","West","Height",180
"604",405,"Male","West","Height",180
"605",71,"Male","West","Height",191
"606",238,"Male","East","Height",170
"607",116,"Male","West","Height",191
"608",455,"Male","West","Height",185
"609",451,"Male","West","Height",193
"610",254,"Male","West","Height",173
"611",62,"Male","West","Height",173
"612",343,"Male","East","Height",175
"613",423,"Male","West","Height",193
"614",446,"Male","East","Height",180
"615",51,"Male","West","Height",196
"616",289,"Male","East","Height",178
"617",136,"Male","West","Height",188
"618",226,"Male","West","Height",180
"619",460,"Male","West","Height",185
"620",205,"Male","West","Height",188
"621",393,"Male","West","Height",188
"622",406,"Male","West","Height",198
"623",211,"Male","West","Height",188
"624",468,"Male","East","Height",183
"625",268,"Male","West","Height",191
"626",482,"Male","West","Height",170
"627",402,"Male","West","Height",183
"628",47,"Male","West","Height",191
"629",343,"Male","East","Height",175
"630",466,"Male","West","Height",180
"631",465,"Male","West","Height",188
